,branch,name,type,diameter,length,upstream_chainage,upstream_invert,downstream_chainage
0, 'Branch_1', 'OH_1',concrete,800.0,18.167797243453972,85.87233511355132,199.94657475951888,104.04013235700529
1, 'Branch_1', 'OH_2',concrete,1000.0,16.99867836552152,155.45562179039567,199.79497837252305,172.4543001559172
2, 'Branch_1', 'OH_3',plastic,500.0,8.265399326001377,158.51462009375103,199.78049448984737,166.78001941975242
3, 'Branch_1', 'OH_4',concrete,1500.0,15.531349552983189,255.41868512316097,199.36733637655425,270.9500346761442
4, 'Branch_1', 'OH_5',concrete,800.0,39.19262642365344,289.9887265940362,198.98207156500385,329.1813530176897
5, 'Branch_1', 'OH_6',plastic,1500.0,38.12114137085817,373.7465241602935,198.6653356083885,411.8676655311517
6, 'Branch_1', 'OH_7',steel,300.0,46.2162652548104,385.83552014087417,198.47596421974683,432.0517853956846
7, 'Branch_1', 'OH_8',plastic,800.0,38.95309666263719,436.6072451920058,197.9578833573936,475.56034185464296
8, 'Branch_1', 'OH_9',concrete,300.0,42.86044100696763,521.2269870348371,197.6702738488347,564.0874280418047
9, 'Branch_1', 'OH_10',steel,300.0,11.869444656584,562.6583869649145,197.57179736548295,574.5278316214985
10, 'Branch_1', 'OH_11',concrete,800.0,25.000255892598982,571.3051459377393,197.1939838510223,596.3054018303383
11, 'Branch_1', 'OH_12',concrete,300.0,32.470224123526016,620.2744979839651,197.1771496669346,652.7447221074912
12, 'Branch_1', 'OH_13',concrete,800.0,44.31848763396346,684.9901145158954,197.0811851397875,729.3086021498589
13, 'Branch_1', 'OH_14',concrete,300.0,10.796319375954276,725.4356013548409,196.8854781102182,736.2319207307951
14, 'Branch_1', 'OH_15',plastic,300.0,36.8367796686241,763.8045646438449,196.39769934667652,800.641344312469
15, 'Branch_1', 'OH_16',plastic,1500.0,19.405880863240032,815.672392996145,196.0781722748828,835.078273859385
16, 'Branch_1', 'OH_17',concrete,300.0,34.20188295837597,909.7737441266904,195.84286336873208,943.9756270850664
17, 'Branch_1', 'OH_18',plastic,500.0,2.780092291284793,955.588424136663,195.82693989939347,958.3685164279477
